FID,longitude,latitude,cell_num,cell_area,gpcp_cid,CID,BASIN,AREA,ntsctarea,area_frc
41,90.250000000000000,30.250000000000000,39835,2667.481201170000100,21331.000000000000000,495360,34,771.810969277000030,177.596641718999990,0.230103806228000
42,90.250000000000000,30.250000000000000,39835,2667.481201170000100,21331.000000000000000,496604,34,772.552685692999940,772.552685692999940,1.000000000000000
43,90.750000000000000,30.250000000000000,39836,2667.481201170000100,21331.000000000000000,495360,34,771.810969277000030,594.214327558000040,0.769896193772000
44,90.750000000000000,30.250000000000000,39836,2667.481201170000100,21331.000000000000000,495361,34,771.810969277000030,741.098768078000030,0.960207612458000
45,90.750000000000000,30.250000000000000,39836,2667.481201170000100,21331.000000000000000,496606,34,772.552685692999940,732.593064019000050,0.948275862069000
46,91.250000000000000,30.250000000000000,39837,2667.481201170000100,21332.000000000000000,495361,34,771.810969277000030,30.712201199399999,0.039792387543000
47,91.250000000000000,30.250000000000000,39837,2667.481201170000100,21332.000000000000000,495362,34,771.810969277000030,771.810969277000030,1.000000000000000
48,91.250000000000000,30.250000000000000,39837,2667.481201170000100,21332.000000000000000,495363,34,771.810969277000030,532.789925157999960,0.690311418685000
49,91.250000000000000,30.250000000000000,39837,2667.481201170000100,21332.000000000000000,496606,34,772.552685692999940,39.959621673699999,0.051724137930900
50,91.750000000000000,30.250000000000000,39838,2667.481201170000100,21332.000000000000000,495363,34,771.810969277000030,239.021044117999990,0.309688581314000
51,91.750000000000000,30.250000000000000,39838,2667.481201170000100,21332.000000000000000,495365,34,771.810969277000030,327.151708430999970,0.423875432527000
52,92.250000000000000,30.250000000000000,39839,2667.481201170000100,21333.000000000000000,495365,34,771.810969277000030,444.659260846000000,0.576124567473000
53,92.250000000000000,30.250000000000000,39839,2667.481201170000100,21333.000000000000000,495366,34,771.810969277000030,771.810969277000030,1.000000000000000
54,92.750000000000000,30.250000000000000,39840,2667.481201170000100,21333.000000000000000,495368,34,771.810969277000030,682.344991868999950,0.884083044982000
55,93.250000000000000,30.250000000000000,39841,2667.481201170000100,21334.000000000000000,495368,34,771.810969277000030,89.465977407500006,0.115916955017000
56,93.250000000000000,30.250000000000000,39841,2667.481201170000100,21334.000000000000000,495369,34,771.810969277000030,771.810969277000030,1.000000000000000
57,93.750000000000000,30.250000000000000,39842,2667.481201170000100,21334.000000000000000,495372,34,771.810969277000030,265.727306031000010,0.344290657439000
58,93.750000000000000,30.250000000000000,39842,2667.481201170000100,21334.000000000000000,496616,34,772.552685692999940,772.552685692999940,1.000000000000000
59,94.250000000000000,30.250000000000000,39843,2667.481201170000100,21335.000000000000000,495372,34,771.810969277000030,506.083663246000010,0.655709342561000
60,82.750000000000000,29.750000000000000,40148,2680.682128909999800,21683.000000000000000,492834,21,772.927596759000040,507.233735373000000,0.656250000000000
61,82.750000000000000,29.750000000000000,40148,2680.682128909999800,21683.000000000000000,494085,21,771.041306716000010,744.269039121999980,0.965277777778000
62,83.250000000000000,29.750000000000000,40149,2680.682128909999800,21684.000000000000000,492834,21,772.927596759000040,265.693861385999980,0.343750000000000
63,83.250000000000000,29.750000000000000,40149,2680.682128909999800,21684.000000000000000,492835,34,772.927596758000050,770.243820380999980,0.996527777779000
