FID,WGHM_BASIN,PAPA_BASIN,EAG_CNUM,WGHM_CNUM,EAG_AREA,INTCT_AREA,AREA_FRC
0,21,21,464590,43452,771.248900624000040,751.545461555999960,0.974452554743000
1,21,21,464591,43452,771.248900624000040,655.843043231000020,0.850364963503000
2,21,21,465903,43452,769.768187962999950,359.599737442999980,0.467153284672000
3,21,21,465904,43452,769.768187964000050,769.768187964000050,1.000000000000000
4,21,34,465905,43452,769.768187962999950,272.509176030999980,0.354014598541000
5,21,21,464588,43451,771.248900624000040,616.436165096999960,0.799270072992000
6,21,21,464589,43451,771.248900624000040,771.248900623000050,0.999999999999000
7,21,21,464590,43451,771.248900624000040,19.703439067000001,0.025547445255400
8,21,21,465902,43451,769.768187964000050,769.768187964000050,1.000000000000000
9,21,21,465903,43451,769.768187962999950,410.168450521000010,0.532846715329000
10,21,21,467212,43169,771.076863331000030,18.225453133399999,0.023636363636500
11,21,21,467213,43169,771.076863331000030,771.076863331000030,1.000000000000000
12,21,21,467214,43169,771.076863331000030,612.655616864999960,0.794545454546000
13,21,21,468521,43169,772.360013912000000,582.068416282000040,0.753623188406000
14,21,21,468522,43169,772.360013912000000,772.360013912000000,1.000000000000000
15,21,21,468523,43169,772.360013912000000,44.774493560200000,0.057971014492900
16,21,21,467211,43168,771.076863331000030,649.106523131000020,0.841818181818000
17,21,21,467212,43168,771.076863331000030,752.851410198000050,0.976363636364000
18,21,21,468519,43168,772.360013912000000,439.349718059000000,0.568840579711000
19,21,21,468520,43168,772.360013912000000,769.561608063999980,0.996376811594000
20,21,21,468521,43168,772.360013912000000,187.493191782999990,0.242753623188000
21,21,21,469824,42893,770.824661522000040,41.892644648000001,0.054347826087000
22,21,21,469825,42893,770.824661522000040,770.824661522000040,1.000000000000000
23,21,21,469826,42893,770.824661522000040,583.704182093999980,0.757246376811000
24,21,21,471128,42893,772.061973139999960,603.434719079000050,0.781588447654000
25,21,21,471129,42893,772.061973139999960,769.274745800000010,0.996389891697000
26,21,21,471130,42893,772.061973139999960,18.116977708899999,0.023465703970900
27,21,21,469823,42892,770.824661522000040,667.489471389999950,0.865942028985000
28,21,21,469824,42892,770.824661522000040,728.932016874000060,0.945652173913000
29,21,21,471126,42892,772.061973139999960,455.711670066000010,0.590252707581000
30,21,21,471127,42892,772.061973139999960,772.061973139999960,1.000000000000000
31,21,21,471128,42892,772.061973139999960,165.840026720999990,0.214801444043000
32,21,21,469821,42891,770.824661522000040,522.261636610999970,0.677536231884000
33,21,21,469822,42891,770.824661522000040,770.824661522000040,1.000000000000000
34,21,21,469823,42891,770.824661522000040,103.335190131000000,0.134057971014000
