cell_num,arc_id,longitude,latitude
164.0,164.0,-22.75,82.75
165.0,165.0,-22.25,82.75
166.0,166.0,-21.75,82.75
167.0,167.0,-21.25,82.75
168.0,168.0,-88.25,82.25
169.0,169.0,-87.75,82.25
170.0,170.0,-86.75,82.25
171.0,171.0,-86.25,82.25
172.0,172.0,-85.75,82.25
173.0,173.0,-85.25,82.25
174.0,174.0,-84.75,82.25
175.0,175.0,-84.25,82.25
176.0,176.0,-83.75,82.25
177.0,177.0,-83.25,82.25
178.0,178.0,-82.75,82.25
179.0,179.0,-82.25,82.25
180.0,180.0,-81.75,82.25
181.0,181.0,-81.25,82.25
182.0,182.0,-80.75,82.25
183.0,183.0,-80.25,82.25
184.0,184.0,-79.75,82.25
185.0,185.0,-79.25,82.25
186.0,186.0,-78.75,82.25
187.0,187.0,-78.25,82.25
188.0,188.0,-77.75,82.25
189.0,189.0,-77.25,82.25
190.0,190.0,-76.75,82.25
191.0,191.0,-76.25,82.25
192.0,192.0,-75.75,82.25
193.0,193.0,-75.25,82.25
194.0,194.0,-74.75,82.25
195.0,195.0,-74.25,82.25
196.0,196.0,-73.75,82.25
197.0,197.0,-73.25,82.25
198.0,198.0,-72.75,82.25
199.0,199.0,-72.25,82.25
200.0,200.0,-71.75,82.25
201.0,201.0,-71.25,82.25
202.0,202.0,-70.75,82.25
203.0,203.0,-70.25,82.25
204.0,204.0,-69.75,82.25
205.0,205.0,-69.25,82.25
206.0,206.0,-68.75,82.25
207.0,207.0,-68.25,82.25
208.0,208.0,-67.75,82.25
209.0,209.0,-67.25,82.25
210.0,210.0,-66.75,82.25
211.0,211.0,-66.25,82.25
212.0,212.0,-65.75,82.25
213.0,213.0,-65.25,82.25
214.0,214.0,-64.75,82.25
215.0,215.0,-64.25,82.25
216.0,216.0,-63.75,82.25
217.0,217.0,-63.25,82.25
218.0,218.0,-62.75,82.25
219.0,219.0,-62.25,82.25
220.0,220.0,-61.75,82.25
221.0,221.0,-61.25,82.25
222.0,222.0,-59.75,82.25
223.0,223.0,-58.75,82.25
224.0,224.0,-58.25,82.25
225.0,225.0,-57.75,82.25
226.0,226.0,-57.25,82.25
227.0,227.0,-56.75,82.25
228.0,228.0,-56.25,82.25
229.0,229.0,-55.75,82.25
230.0,230.0,-55.25,82.25
231.0,231.0,-54.75,82.25
232.0,232.0,-54.25,82.25
233.0,233.0,-53.75,82.25
234.0,234.0,-53.25,82.25
235.0,235.0,-52.75,82.25
236.0,236.0,-52.25,82.25
237.0,237.0,-51.75,82.25
238.0,238.0,-51.25,82.25
239.0,239.0,-50.75,82.25
240.0,240.0,-50.25,82.25
241.0,241.0,-49.75,82.25
242.0,242.0,-49.25,82.25
243.0,243.0,-48.75,82.25
244.0,244.0,-48.25,82.25
245.0,245.0,-47.75,82.25
246.0,246.0,-47.25,82.25
247.0,247.0,-46.75,82.25
248.0,248.0,-46.25,82.25
249.0,249.0,-45.75,82.25
250.0,250.0,-45.25,82.25
251.0,251.0,-44.75,82.25
252.0,252.0,-44.25,82.25
253.0,253.0,-43.75,82.25
254.0,254.0,-43.25,82.25
255.0,255.0,-42.75,82.25
256.0,256.0,-42.25,82.25
257.0,257.0,-41.75,82.25
258.0,258.0,-41.25,82.25
259.0,259.0,-40.75,82.25
260.0,260.0,-40.25,82.25
261.0,261.0,-39.75,82.25
262.0,262.0,-39.25,82.25
263.0,263.0,-38.75,82.25
264.0,264.0,-38.25,82.25
265.0,265.0,-37.75,82.25
266.0,266.0,-37.25,82.25
267.0,267.0,-36.75,82.25
268.0,268.0,-36.25,82.25
269.0,269.0,-35.75,82.25
270.0,270.0,-35.25,82.25
271.0,271.0,-34.75,82.25
272.0,272.0,-34.25,82.25
273.0,273.0,-33.75,82.25
274.0,274.0,-33.25,82.25
275.0,275.0,-32.75,82.25
276.0,276.0,-32.25,82.25
277.0,277.0,-31.75,82.25
278.0,278.0,-31.25,82.25
279.0,279.0,-30.75,82.25
280.0,280.0,-30.25,82.25
281.0,281.0,-29.75,82.25
282.0,282.0,-29.25,82.25
283.0,283.0,-28.75,82.25
284.0,284.0,-28.25,82.25
285.0,285.0,-27.75,82.25
