1112100 -11.25 14.75 -99 -99 -99
1112300 -11.25 13.75 -99 -99 -99
1112330 -9.75 13.75 -99 -99 -99
1112340 -9.75 13.25 -99 -99 -99
1112350 -10.25 13.25 -99 -99 -99
1134050 -8.25 11.25 -99 -99 -99
1134100 -7.75 12.75 -99 -99 -99
1134200 -7.25 12.25 -99 -99 -99
1134220 -6.75 11.25 -99 -99 -99
1134300 -6.25 12.75 -99 -99 -99
1134310 -5.75 11.75 -99 -99 -99
1134480 -4.75 13.75 -99 -99 -99
1134500 -4.25 14.25 -99 -99 -99
1134700 -3.75 16.25 -99 -99 -99
1134850 -0.75 17.25 -99 -99 -99
1134900 0.25 15.75 -99 -99 -99
1147010 15.25 -4.25 -99 -99 -99
1147011 25.25 -0.25 -99 -99 -99
1147012 25.75 -3.25 -99 -99 -99
1147200 17.25 -3.25 -99 -99 -99
1147201 21.25 -4.75 -99 -99 -99
1159100 17.75 -28.75 -99 -99 -99
1159130 20.25 -30.75 -99 -99 -99
1159300 21.25 -28.25 -99 -99 -99
1159302 23.75 -29.25 -99 -99 -99
1159303 24.25 -29.75 -99 -99 -99
1159650 26.75 -30.75 -99 -99 -99
1159800 28.25 -26.75 -99 -99 -99
1160460 24.75 -33.75 -99 -99 -99
1160510 26.25 -33.25 -99 -99 -99
1160880 30.75 -28.75 -99 -99 -99
1196100 30.75 -24.25 -99 -99 -99
1196400 27.75 -23.25 -99 -99 -99
1196550 29.75 -22.25 -99 -99 -99
1197500 31.75 -25.25 -99 -99 -99
1234080 0.25 14.75 -99 -99 -99
1234130 1.25 13.25 -99 -99 -99
1234150 1.75 13.75 -99 -99 -99
1234180 1.75 13.25 -99 -99 -99
1234250 3.25 11.75 -99 -99 -99
1237500 12.25 13.25 -99 -99 -99
1255100 14.25 -17.25 -99 -99 -99
1257100 19.75 -17.75 -99 -99 -99
1257101 21.25 -17.75 -99 -99 -99
1258200 15.75 -20.25 -99 -99 -99
1258201 13.75 -21.25 -99 -99 -99
1258503 14.75 -23.25 -99 -99 -99
1259100 17.75 -27.75 -99 -99 -99
1259101 17.75 -26.75 -99 -99 -99
1259150 28.25 -30.25 -99 -99 -99
1259350 18.75 -25.25 -99 -99 -99
1269600 34.25 -2.25 -99 -99 -99
1271500 34.75 -1.75 -99 -99 -99
1286660 36.75 -7.75 -99 -99 -99
1286700 36.75 -8.25 -99 -99 -99
1286900 37.75 -7.75 -99 -99 -99
1287800 35.25 -5.75 -99 -99 -99
1289200 38.25 -4.75 -99 -99 -99
1289450 38.75 -6.75 -99 -99 -99
1291100 24.25 -17.25 -99 -99 -99
1291200 23.25 -17.75 -99 -99 -99
1308600 -3.75 33.75 -99 -99 -99
1309700 -5.25 34.25 -99 -99 -99
1335014 13.75 8.75 -99 -99 -99
1335122 12.75 8.25 -99 -99 -99
1335181 13.75 9.75 -99 -99 -99
1337101 15.25 7.75 -99 -99 -99
1338050 10.25 3.75 -99 -99 -99
1338201 14.25 5.75 -99 -99 -99
1338252 11.25 5.75 -99 -99 -99
1338400 11.75 4.25 -99 -99 -99
1338600 12.75 6.25 -99 -99 -99
1339100 10.75 3.75 -99 -99 -99
1340500 11.75 2.25 -99 -99 -99
1348152 14.75 4.25 -99 -99 -99
1348401 13.25 2.75 -99 -99 -99
1362100 31.25 29.75 -99 -99 -99
1362600 32.75 23.75 -99 -99 -99
1389100 44.25 -21.75 -99 -99 -99
1389230 44.75 -19.75 -99 -99 -99
1389470 46.25 -24.75 -99 -99 -99
1389500 46.75 -17.75 -99 -99 -99
1389520 47.25 -17.25 -99 -99 -99
1389600 47.25 -23.25 -99 -99 -99
1426380 -4.75 5.75 -99 -99 -99
1427500 -6.75 5.75 -99 -99 -99
1428500 -3.75 6.25 -99 -99 -99
1445100 12.25 -3.75 -99 -99 -99
1445490 13.25 -4.25 -99 -99 -99
1448050 14.75 2.25 -99 -99 -99
1448100 16.25 1.75 -99 -99 -99
1472150 31.75 2.25 -99 -99 -99
1472300 33.25 0.25 -99 -99 -99
1491200 27.25 -18.75 -99 -99 -99
1491210 27.75 -19.25 -99 -99 -99
1495240 31.25 -21.25 -99 -99 -99
1495700 31.75 -19.25 -99 -99 -99
1526300 -1.75 5.75 -99 -99 -99
1530100 -2.75 5.25 -99 -99 -99
1531100 -2.25 8.25 -99 -99 -99
1531450 -0.75 9.75 -99 -99 -99
1531600 -0.25 10.75 -99 -99 -99
1531700 0.25 6.25 -99 -99 -99
1531800 0.25 9.25 -99 -99 -99
1537100 14.75 12.25 -99 -99 -99
1537150 15.75 9.75 -99 -99 -99
1537180 15.75 8.25 -99 -99 -99
1537250 16.75 8.25 -99 -99 -99
1537300 17.25 10.25 -99 -99 -99
1537450 17.75 7.75 -99 -99 -99
1537500 18.75 8.75 -99 -99 -99
1537800 20.75 11.25 -99 -99 -99
1577102 39.75 8.75 -99 -99 -99
1577602 40.25 10.75 -99 -99 -99
1591470 28.25 -13.25 -99 -99 -99
1631100 0.75 10.75 -99 -99 -99
1634400 -10.25 10.75 -99 -99 -99
1634420 -9.75 10.25 -99 -99 -99
1634500 -9.25 9.75 -99 -99 -99
1634600 -9.75 11.25 -99 -99 -99
1643100 10.25 -0.75 -99 -99 -99
1643150 10.75 -1.25 -99 -99 -99
1643200 10.75 -0.25 -99 -99 -99
1643300 12.25 -0.25 -99 -99 -99
1643400 12.75 -0.75 -99 -99 -99
1643420 12.75 0.75 -99 -99 -99
1643450 12.75 1.25 -99 -99 -99
1644200 11.25 -3.25 -99 -99 -99
1663100 32.75 15.25 -99 -99 -99
1663800 34.25 11.75 -99 -99 -99
1664100 34.25 17.75 -99 -99 -99
1666100 32.25 9.25 -99 -99 -99
1673100 32.25 15.75 -99 -99 -99
